,realtime_start,realtime_end,date,value
223,2024-11-08,2024-11-08,2019-06-01,30.76923
224,2024-11-08,2024-11-08,2019-07-01,25.65445
225,2024-11-08,2024-11-08,2019-08-01,11.51832
226,2024-11-08,2024-11-08,2019-09-01,4.61538
227,2024-11-08,2024-11-08,2019-10-01,-16.43836
228,2024-11-08,2024-11-08,2019-11-01,-29.54545
229,2024-11-08,2024-11-08,2019-12-01,-31.71806
230,2024-11-08,2024-11-08,2020-01-01,-35.41667
231,2024-11-08,2024-11-08,2020-02-01,-34.16667
232,2024-11-08,2024-11-08,2020-03-01,-73.02905
233,2024-11-08,2024-11-08,2020-04-01,-97.93388
234,2024-11-08,2024-11-08,2020-05-01,-97.90795
235,2024-11-08,2024-11-08,2020-06-01,-96.63866
236,2024-11-08,2024-11-08,2020-07-01,-96.25
237,2024-11-08,2024-11-08,2020-08-01,-95.30516
238,2024-11-08,2024-11-08,2020-09-01,-95.58824
239,2024-11-08,2024-11-08,2020-10-01,-95.08197
240,2024-11-08,2024-11-08,2020-11-01,-94.19355
241,2024-11-08,2024-11-08,2020-12-01,-94.19355
242,2024-11-08,2024-11-08,2021-01-01,-94.19355
243,2024-11-08,2024-11-08,2021-02-01,-94.93671
244,2024-11-08,2024-11-08,2021-03-01,-89.23077
245,2024-11-08,2024-11-08,2021-04-01,40.0
246,2024-11-08,2024-11-08,2021-05-01,20.0
247,2024-11-08,2024-11-08,2021-06-01,0.0
248,2024-11-08,2024-11-08,2021-07-01,11.11111
249,2024-11-08,2024-11-08,2021-08-01,-10.0
250,2024-11-08,2024-11-08,2021-09-01,-11.11111
251,2024-11-08,2024-11-08,2021-10-01,-11.11111
252,2024-11-08,2024-11-08,2021-11-01,-11.11111
253,2024-11-08,2024-11-08,2021-12-01,-11.11111
254,2024-11-08,2024-11-08,2022-01-01,-11.11111
255,2024-11-08,2024-11-08,2022-02-01,0.0
256,2024-11-08,2024-11-08,2022-03-01,185.71429
257,2024-11-08,2024-11-08,2022-04-01,371.42857
258,2024-11-08,2024-11-08,2022-05-01,1183.33333
259,2024-11-08,2024-11-08,2022-06-01,1412.5
260,2024-11-08,2024-11-08,2022-07-01,1580.0
261,2024-11-08,2024-11-08,2022-08-01,2488.88889
262,2024-11-08,2024-11-08,2022-09-01,3100.0
263,2024-11-08,2024-11-08,2022-10-01,3750.0
264,2024-11-08,2024-11-08,2022-11-01,4625.0
265,2024-11-08,2024-11-08,2022-12-01,5025.0
266,2024-11-08,2024-11-08,2023-01-01,5312.5
267,2024-11-08,2024-11-08,2023-02-01,5612.5
268,2024-11-08,2024-11-08,2023-03-01,2225.0
269,2024-11-08,2024-11-08,2023-04-01,1363.63636
270,2024-11-08,2024-11-08,2023-05-01,557.14286
271,2024-11-08,2024-11-08,2023-06-01,319.83471
272,2024-11-08,2024-11-08,2023-07-01,204.7619
273,2024-11-08,2024-11-08,2023-08-01,128.75536
274,2024-11-08,2024-11-08,2023-09-01,108.20313
275,2024-11-08,2024-11-08,2023-10-01,73.05195
276,2024-11-08,2024-11-08,2023-11-01,41.00529
277,2024-11-08,2024-11-08,2023-12-01,30.0
278,2024-11-08,2024-11-08,2024-01-01,23.09469
279,2024-11-08,2024-11-08,2024-02-01,16.6302
280,2024-11-08,2024-11-08,2024-03-01,14.62366
281,2024-11-08,2024-11-08,2024-04-01,10.35197
282,2024-11-08,2024-11-08,2024-05-01,5.33597
283,2024-11-08,2024-11-08,2024-06-01,4.92126
284,2024-11-08,2024-11-08,2024-07-01,4.10156
285,2024-11-08,2024-11-08,2024-08-01,0.0
286,2024-11-08,2024-11-08,2024-09-01,-3.75235
287,2024-11-08,2024-11-08,2024-10-01,-9.38086
