date,realtime_start,realtime_end,value
2018-12-01,2024-11-05,2024-11-05,-4.87805
2019-01-01,2024-11-05,2024-11-05,0.0
2019-02-01,2024-11-05,2024-11-05,-7.31707
2019-03-01,2024-11-05,2024-11-05,-5.0
2019-04-01,2024-11-05,2024-11-05,-7.5
2019-05-01,2024-11-05,2024-11-05,-5.26316
2019-06-01,2024-11-05,2024-11-05,-10.0
2019-07-01,2024-11-05,2024-11-05,-2.63158
2019-08-01,2024-11-05,2024-11-05,-5.26316
2019-09-01,2024-11-05,2024-11-05,-5.40541
2019-10-01,2024-11-05,2024-11-05,-5.26316
2019-11-01,2024-11-05,2024-11-05,-5.26316
2019-12-01,2024-11-05,2024-11-05,-7.69231
2020-01-01,2024-11-05,2024-11-05,-10.0
2020-02-01,2024-11-05,2024-11-05,-7.89474
2020-03-01,2024-11-05,2024-11-05,15.78947
2020-04-01,2024-11-05,2024-11-05,300.0
2020-05-01,2024-11-05,2024-11-05,266.66667
2020-06-01,2024-11-05,2024-11-05,205.55556
2020-07-01,2024-11-05,2024-11-05,175.67568
2020-08-01,2024-11-05,2024-11-05,133.33333
2020-09-01,2024-11-05,2024-11-05,122.85714
2020-10-01,2024-11-05,2024-11-05,88.88889
2020-11-01,2024-11-05,2024-11-05,86.11111
2020-12-01,2024-11-05,2024-11-05,86.11111
2021-01-01,2024-11-05,2024-11-05,77.77778
2021-02-01,2024-11-05,2024-11-05,77.14286
2021-03-01,2024-11-05,2024-11-05,38.63636
2021-04-01,2024-11-05,2024-11-05,-58.78378
2021-05-01,2024-11-05,2024-11-05,-56.06061
2021-06-01,2024-11-05,2024-11-05,-46.36364
2021-07-01,2024-11-05,2024-11-05,-47.05882
2021-08-01,2024-11-05,2024-11-05,-39.28571
2021-09-01,2024-11-05,2024-11-05,-39.74359
2021-10-01,2024-11-05,2024-11-05,-33.82353
2021-11-01,2024-11-05,2024-11-05,-38.80597
2021-12-01,2024-11-05,2024-11-05,-41.79104
2022-01-01,2024-11-05,2024-11-05,-37.5
2022-02-01,2024-11-05,2024-11-05,-38.70968
2022-03-01,2024-11-05,2024-11-05,-40.98361
2022-04-01,2024-11-05,2024-11-05,-39.34426
2022-05-01,2024-11-05,2024-11-05,-37.93103
2022-06-01,2024-11-05,2024-11-05,-38.98305
2022-07-01,2024-11-05,2024-11-05,-35.18519
2022-08-01,2024-11-05,2024-11-05,-29.41176
2022-09-01,2024-11-05,2024-11-05,-25.53191
2022-10-01,2024-11-05,2024-11-05,-20.0
2022-11-01,2024-11-05,2024-11-05,-12.19512
2022-12-01,2024-11-05,2024-11-05,-10.25641
2023-01-01,2024-11-05,2024-11-05,-15.0
2023-02-01,2024-11-05,2024-11-05,-5.26316
2023-03-01,2024-11-05,2024-11-05,-2.77778
2023-04-01,2024-11-05,2024-11-05,-8.10811
2023-05-01,2024-11-05,2024-11-05,2.77778
2023-06-01,2024-11-05,2024-11-05,0.0
2023-07-01,2024-11-05,2024-11-05,0.0
2023-08-01,2024-11-05,2024-11-05,5.55556
2023-09-01,2024-11-05,2024-11-05,8.57143
2023-10-01,2024-11-05,2024-11-05,5.55556
2023-11-01,2024-11-05,2024-11-05,2.77778
2023-12-01,2024-11-05,2024-11-05,5.71429
2024-01-01,2024-11-05,2024-11-05,8.82353
2024-02-01,2024-11-05,2024-11-05,8.33333
2024-03-01,2024-11-05,2024-11-05,8.57143
2024-04-01,2024-11-05,2024-11-05,14.70588
2024-05-01,2024-11-05,2024-11-05,8.10811
2024-06-01,2024-11-05,2024-11-05,13.88889
2024-07-01,2024-11-05,2024-11-05,22.85714
2024-08-01,2024-11-05,2024-11-05,10.52632
2024-09-01,2024-11-05,2024-11-05,7.89474
2024-10-01,2024-11-05,2024-11-05,7.89474
