date,realtime_start,realtime_end,value
2014-02-01,2024-11-05,2024-11-05,1.12047
2014-03-01,2024-11-05,2024-11-05,1.61269
2014-04-01,2024-11-05,2024-11-05,2.01513
2014-05-01,2024-11-05,2024-11-05,2.16695
2014-06-01,2024-11-05,2024-11-05,2.05898
2014-07-01,2024-11-05,2024-11-05,1.97424
2014-08-01,2024-11-05,2024-11-05,1.7151
2014-09-01,2024-11-05,2024-11-05,1.68405
2014-10-01,2024-11-05,2024-11-05,1.60954
2014-11-01,2024-11-05,2024-11-05,1.23152
2014-12-01,2024-11-05,2024-11-05,0.65312
2015-01-01,2024-11-05,2024-11-05,-0.22993
2015-02-01,2024-11-05,2024-11-05,-0.08703
2015-03-01,2024-11-05,2024-11-05,-0.02203
2015-04-01,2024-11-05,2024-11-05,-0.10403
2015-05-01,2024-11-05,2024-11-05,0.03503
2015-06-01,2024-11-05,2024-11-05,0.17957
2015-07-01,2024-11-05,2024-11-05,0.22569
2015-08-01,2024-11-05,2024-11-05,0.2413
2015-09-01,2024-11-05,2024-11-05,0.00884
2015-10-01,2024-11-05,2024-11-05,0.12762
2015-11-01,2024-11-05,2024-11-05,0.43632
2015-12-01,2024-11-05,2024-11-05,0.63872
2016-01-01,2024-11-05,2024-11-05,1.2375
2016-02-01,2024-11-05,2024-11-05,0.84728
2016-03-01,2024-11-05,2024-11-05,0.89162
2016-04-01,2024-11-05,2024-11-05,1.17263
2016-05-01,2024-11-05,2024-11-05,1.07848
2016-06-01,2024-11-05,2024-11-05,1.07929
2016-07-01,2024-11-05,2024-11-05,0.86836
2016-08-01,2024-11-05,2024-11-05,1.05532
2016-09-01,2024-11-05,2024-11-05,1.54864
2016-10-01,2024-11-05,2024-11-05,1.68592
2016-11-01,2024-11-05,2024-11-05,1.68433
2016-12-01,2024-11-05,2024-11-05,2.0508
2017-01-01,2024-11-05,2024-11-05,2.51039
2017-02-01,2024-11-05,2024-11-05,2.81036
2017-03-01,2024-11-05,2024-11-05,2.4412
2017-04-01,2024-11-05,2024-11-05,2.17622
2017-05-01,2024-11-05,2024-11-05,1.85634
2017-06-01,2024-11-05,2024-11-05,1.64057
2017-07-01,2024-11-05,2024-11-05,1.72511
2017-08-01,2024-11-05,2024-11-05,1.92812
2017-09-01,2024-11-05,2024-11-05,2.18057
2017-10-01,2024-11-05,2024-11-05,2.02076
2017-11-01,2024-11-05,2024-11-05,2.17249
2017-12-01,2024-11-05,2024-11-05,2.12993
2018-01-01,2024-11-05,2024-11-05,2.15132
2018-02-01,2024-11-05,2024-11-05,2.26347
2018-03-01,2024-11-05,2024-11-05,2.33095
2018-04-01,2024-11-05,2024-11-05,2.471
2018-05-01,2024-11-05,2024-11-05,2.78192
2018-06-01,2024-11-05,2024-11-05,2.80755
2018-07-01,2024-11-05,2024-11-05,2.85412
2018-08-01,2024-11-05,2024-11-05,2.64292
2018-09-01,2024-11-05,2024-11-05,2.33206
2018-10-01,2024-11-05,2024-11-05,2.49203
2018-11-01,2024-11-05,2024-11-05,2.14733
2018-12-01,2024-11-05,2024-11-05,2.00238
2019-01-01,2024-11-05,2024-11-05,1.48759
2019-02-01,2024-11-05,2024-11-05,1.51886
2019-03-01,2024-11-05,2024-11-05,1.88319
2019-04-01,2024-11-05,2024-11-05,2.00058
2019-05-01,2024-11-05,2024-11-05,1.79591
2019-06-01,2024-11-05,2024-11-05,1.67119
2019-07-01,2024-11-05,2024-11-05,1.82633
2019-08-01,2024-11-05,2024-11-05,1.73764
2019-09-01,2024-11-05,2024-11-05,1.6845
2019-10-01,2024-11-05,2024-11-05,1.73397
2019-11-01,2024-11-05,2024-11-05,2.09229
2019-12-01,2024-11-05,2024-11-05,2.31953
2020-01-01,2024-11-05,2024-11-05,2.51226
2020-02-01,2024-11-05,2024-11-05,2.33974
2020-03-01,2024-11-05,2024-11-05,1.52314
2020-04-01,2024-11-05,2024-11-05,0.34988
2020-05-01,2024-11-05,2024-11-05,0.21622
2020-06-01,2024-11-05,2024-11-05,0.70177
2020-07-01,2024-11-05,2024-11-05,1.01876
2020-08-01,2024-11-05,2024-11-05,1.3006
2020-09-01,2024-11-05,2024-11-05,1.37308
2020-10-01,2024-11-05,2024-11-05,1.20317
2020-11-01,2024-11-05,2024-11-05,1.16954
2020-12-01,2024-11-05,2024-11-05,1.30495
2021-01-01,2024-11-05,2024-11-05,1.3951
2021-02-01,2024-11-05,2024-11-05,1.67293
2021-03-01,2024-11-05,2024-11-05,2.61863
2021-04-01,2024-11-05,2024-11-05,4.14874
2021-05-01,2024-11-05,2024-11-05,4.92636
2021-06-01,2024-11-05,2024-11-05,5.31509
2021-07-01,2024-11-05,2024-11-05,5.25758
2021-08-01,2024-11-05,2024-11-05,5.17531
2021-09-01,2024-11-05,2024-11-05,5.36101
2021-10-01,2024-11-05,2024-11-05,6.21904
2021-11-01,2024-11-05,2024-11-05,6.86253
2021-12-01,2024-11-05,2024-11-05,7.17658
2022-01-01,2024-11-05,2024-11-05,7.56977
2022-02-01,2024-11-05,2024-11-05,7.94892
2022-03-01,2024-11-05,2024-11-05,8.54743
2022-04-01,2024-11-05,2024-11-05,8.25186
2022-05-01,2024-11-05,2024-11-05,8.533
2022-06-01,2024-11-05,2024-11-05,8.98974
2022-07-01,2024-11-05,2024-11-05,8.44982
2022-08-01,2024-11-05,2024-11-05,8.21881
2022-09-01,2024-11-05,2024-11-05,8.19827
2022-10-01,2024-11-05,2024-11-05,7.75194
2022-11-01,2024-11-05,2024-11-05,7.11947
2022-12-01,2024-11-05,2024-11-05,6.4115
2023-01-01,2024-11-05,2024-11-05,6.36212
2023-02-01,2024-11-05,2024-11-05,5.96552
2023-03-01,2024-11-05,2024-11-05,4.93509
2023-04-01,2024-11-05,2024-11-05,4.94106
2023-05-01,2024-11-05,2024-11-05,4.12069
2023-06-01,2024-11-05,2024-11-05,3.05326
2023-07-01,2024-11-05,2024-11-05,3.27178
2023-08-01,2024-11-05,2024-11-05,3.71872
2023-09-01,2024-11-05,2024-11-05,3.69406
2023-10-01,2024-11-05,2024-11-05,3.24579
2023-11-01,2024-11-05,2024-11-05,3.13948
2023-12-01,2024-11-05,2024-11-05,3.32316
2024-01-01,2024-11-05,2024-11-05,3.10598
2024-02-01,2024-11-05,2024-11-05,3.16574
2024-03-01,2024-11-05,2024-11-05,3.47513
2024-04-01,2024-11-05,2024-11-05,3.35773
2024-05-01,2024-11-05,2024-11-05,3.25021
2024-06-01,2024-11-05,2024-11-05,2.97563
2024-07-01,2024-11-05,2024-11-05,2.92357
2024-08-01,2024-11-05,2024-11-05,2.59123
2024-09-01,2024-11-05,2024-11-05,2.40751
