time,open,high,low,close,tick_volume,spread,real_volume
2022-02-07,1810.035,1823.503,1808.678,1822.004,75537,200,0
2022-02-08,1821.979,1828.737,1815.397,1826.134,67206,200,0
2022-02-09,1825.178,1835.783,1824.374,1832.541,64265,200,0
2022-02-10,1832.543,1841.879,1821.482,1826.796,105547,200,0
2022-02-11,1826.765,1865.332,1820.653,1858.955,125961,200,0
2022-02-13,1855.638,1861.547,1855.387,1859.538,4307,200,0
2022-02-14,1859.568,1874.102,1850.562,1871.048,110166,200,0
2022-02-15,1871.07,1879.466,1844.081,1852.964,102218,200,0
2022-02-16,1852.951,1872.512,1850.275,1869.906,82881,200,0
2022-02-17,1869.938,1900.989,1867.772,1899.944,117792,200,0
2022-02-18,1899.977,1902.395,1886.288,1897.807,90006,200,0
2022-02-20,1903.076,1906.406,1900.349,1904.863,3825,200,0
2022-02-21,1904.861,1914.09,1887.562,1909.377,78514,200,0
2022-02-22,1909.376,1913.754,1891.161,1898.158,103159,200,0
2022-02-23,1898.156,1911.524,1889.367,1910.758,84920,200,0
2022-02-24,1910.754,1974.331,1877.772,1906.531,248208,200,0
2022-02-25,1906.534,1921.484,1882.673,1889.003,146866,200,0
2022-02-27,1921.032,1927.297,1904.329,1910.211,13881,200,0
2022-02-28,1910.171,1919.174,1890.826,1906.268,142235,200,0
2022-03-01,1906.236,1950.209,1901.367,1942.269,137904,200,0
2022-03-02,1942.264,1947.856,1913.468,1928.805,156253,200,0
2022-03-03,1928.837,1941.243,1921.974,1934.87,121828,200,0
2022-03-04,1934.879,1970.844,1929.388,1970.317,152630,200,0
2022-03-06,1981.416,1991.499,1981.269,1988.583,11607,200,0
2022-03-07,1988.6,2002.716,1960.799,1998.736,222741,200,0
2022-03-08,1998.753,2070.292,1980.906,2043.828,317317,200,0
2022-03-09,2043.799,2059.09,1975.866,1989.867,262480,200,0
2022-03-10,1989.862,2009.102,1970.412,1995.388,205989,200,0
2022-03-11,1995.419,1997.308,1958.306,1988.147,162907,200,0
2022-03-13,1980.342,1983.847,1970.76,1974.302,8520,200,0
2022-03-14,1974.263,1978.865,1949.352,1952.184,132370,200,0
2022-03-15,1952.176,1952.208,1906.916,1918.082,154070,200,0
2022-03-16,1918.05,1929.424,1894.75,1927.034,152537,200,0
2022-03-17,1927.03,1949.689,1925.557,1943.947,117718,200,0
2022-03-18,1943.915,1945.34,1917.946,1921.271,113212,200,0
2022-03-20,1925.067,1926.334,1918.261,1918.985,4779,200,0
2022-03-21,1919.007,1941.097,1917.662,1935.611,98870,200,0
2022-03-22,1935.643,1938.331,1910.378,1919.665,109003,200,0
2022-03-23,1919.663,1948.282,1915.575,1946.106,93504,200,0
2022-03-24,1946.073,1966.151,1937.434,1959.217,111355,200,0
2022-03-25,1959.236,1964.253,1943.079,1958.243,99700,200,0
2022-03-27,1955.588,1957.911,1954.787,1957.209,4352,200,0
2022-03-28,1957.203,1958.405,1916.892,1924.041,130302,200,0
2022-03-29,1924.04,1929.272,1889.783,1916.354,134897,200,0
2022-03-30,1916.363,1938.387,1915.905,1934.044,107049,200,0
2022-03-31,1934.075,1949.703,1918.817,1936.702,110700,200,0
2022-04-01,1936.704,1939.493,1917.769,1924.495,111503,200,0
2022-04-03,1924.673,1924.995,1921.444,1924.674,3323,200,0
2022-04-04,1924.635,1936.808,1915.22,1931.493,98262,200,0
2022-04-05,1931.51,1944.555,1917.767,1920.618,106471,200,0
2022-04-06,1920.617,1933.332,1914.737,1923.806,123666,200,0
2022-04-07,1923.783,1937.538,1920.496,1932.938,99999,200,0
2022-04-08,1932.968,1948.146,1927.668,1947.868,91375,200,0
2022-04-10,1948.292,1950.0,1943.18,1944.606,4961,200,0
2022-04-11,1944.61,1969.435,1939.975,1952.799,114249,200,0
2022-04-12,1952.772,1978.253,1949.605,1965.899,112600,200,0
2022-04-13,1965.931,1981.532,1962.845,1977.082,97485,200,0
2022-04-14,1977.047,1980.308,1960.42,1973.111,95673,200,0
2022-04-17,1972.91,1987.767,1971.978,1986.463,7353,200,0
2022-04-18,1986.493,1998.024,1976.042,1977.192,100399,200,0
2022-04-19,1977.161,1981.721,1943.618,1949.718,115035,200,0
2022-04-20,1949.748,1958.332,1939.088,1956.797,111044,200,0
